id,rating
0,4.7627497
1,1.2917905
2,4.4564066
3,4.689426
4,4.6293526
5,4.6776223
6,4.6950145
7,4.7838655
8,4.496233
9,4.1656
10,4.593378
11,4.7458444
12,4.6452346
13,4.6651826
14,4.719059
15,4.518822
16,2.9373589
17,3.0760865
18,4.5457573
19,4.724602
20,4.216079
21,4.7198186
22,4.696609
23,3.1596837
24,1.2409323
25,2.7651253
26,4.585434
27,4.683469
28,4.602205
29,4.5928698
30,3.2131958
31,1.1941097
32,4.5546856
33,4.6740603
34,4.703064
35,1.4499247
36,4.7294607
37,4.6868687
38,4.66978
39,4.6624937
40,4.305437
41,4.6668687
42,4.630648
43,2.0099878
44,1.218288
45,1.2610569
46,3.0754848
47,4.3890133
48,3.7418275
49,4.7362647
50,4.6539884
51,1.4276824
52,3.0367258
53,4.5306296
54,4.7541585
55,4.7619777
56,4.209891
57,4.164905
58,1.1445671
59,2.7549908
60,4.7010603
61,4.698914
62,4.6644297
63,1.4999886
64,4.7267175
65,4.741702
66,3.4172053
67,2.281526
68,4.3416104
69,4.6892214
70,4.652463
71,4.4477077
72,4.696574
73,4.578965
74,4.796606
75,4.7197566
76,4.6269345
77,4.5211654
78,4.2409377
79,4.675071
80,3.9693909
81,4.7145514
82,4.2761602
83,4.785017
84,4.735241
85,4.4885235
86,4.671743
87,1.4270065
88,4.827118
89,4.610366
90,4.651657
91,2.5917542
92,4.713481
93,4.751279
94,2.2025642
95,3.3693128
96,4.7254004
97,3.4129982
98,4.703551
99,4.7382154
100,4.324823
101,2.291995
102,4.7433777
103,4.6508813
104,4.6396184
105,4.699221
106,1.3312627
107,4.7364593
108,1.1896665
109,1.4989319
110,4.317457
111,4.712192
112,2.8387227
113,4.7411647
114,2.8760252
115,4.727151
116,2.630795
117,4.793864
118,4.180667
119,4.442294
120,4.4097834
121,4.6278067
122,4.700102
123,4.6586146
124,4.667699
125,4.717659
126,4.6665974
127,4.4000006
128,3.266718
129,1.113617
130,1.1638412
131,4.0184207
132,4.684902
133,4.7124367
134,4.027889
135,4.699204
136,4.6874824
137,4.308484
138,4.4143724
139,4.4499006
140,1.6433597
141,4.2212715
142,3.915306
143,4.7001634
144,3.046998
145,4.7310905
146,4.1682706
147,4.6112394
148,4.7313795
149,4.7277412
150,4.5748944
151,4.6704845
152,2.6817532
153,4.702669
154,4.665968
155,3.2797852
156,1.2622302
157,1.2918801
158,1.2289666
159,4.752701
160,2.3649633
161,4.3809757
162,1.1376276
163,4.6976776
164,4.7448244
165,4.6428757
166,3.1273413
167,4.7105966
168,4.6473937
169,4.6765137
170,4.682889
171,4.686673
172,4.693445
173,2.7308822
174,4.737462
175,4.744548
176,1.4268904
177,4.5814915
178,2.6577005
179,4.6558056
180,4.704594
181,4.704331
182,1.2000523
183,1.421385
184,4.627122
185,4.682898
186,4.6488495
187,3.796648
188,4.6694756
189,4.706607
190,4.7113104
191,4.6628146
192,4.7046266
193,1.3018887
194,2.9094725
195,4.7158146
196,4.368515
197,3.2908869
198,1.1171529
199,4.7429776
200,3.650953
201,4.605803
202,4.7410107
203,4.5882683
204,3.4254684
205,4.722989
206,4.6375666
207,4.512494
208,4.417937
209,4.523146
210,3.9655528
211,4.6940875
212,4.7126627
213,4.413034
214,4.714092
215,4.6575437
216,4.718828
217,4.640087
218,4.6671023
219,2.6515694
220,4.7677665
221,2.834361
222,4.768939
223,4.688138
224,4.64019
225,3.8050313
226,4.6620493
227,4.126631
228,4.7139063
229,4.73903
230,4.3099475
231,1.1955894
232,1.1706932
233,1.4206408
234,4.7182503
235,1.3595648
236,4.7304783
237,4.698283
238,4.748869
239,3.2738814
240,4.707033
241,4.738619
242,4.691872
243,4.1793303
244,4.706636
245,3.0493407
246,3.934968
247,4.6934414
248,3.957921
249,3.430338
250,4.307184
251,1.1756638
252,4.555086
253,3.990963
254,3.2419093
255,4.6945915
256,4.0926065
257,4.7199583
258,4.774082
259,4.198409
260,3.4843426
261,1.2832872
262,2.8759592
263,4.4589624
264,1.8636413
265,4.0320435
266,2.4764132
267,1.174615
268,2.1526923
269,4.178212
270,1.2109253
271,4.3764505
272,3.6736317
273,4.6239214
274,4.614584
275,4.6506352
276,2.736522
277,3.9299355
278,1.9765186
279,4.7455916
280,4.6871057
281,3.9747496
282,4.6474996
283,1.1520631
284,4.7187085
285,4.6679945
286,4.60926
287,4.6061506
288,3.424776
289,4.701355
290,4.6903267
291,4.805024
292,1.2777392
293,1.3118337
294,4.515875
295,4.6737933
296,4.7846146
297,2.3748941
298,2.2159681
299,3.3212018
300,4.727491
